tab_score_reg,dopasPerTab,totInksPerTab,tot_imps_per_tab,stationTypeId,idx,oID,maxInksPerTab,gini,tab_score_weighted,tabID,qtyPerTab,runTime
2.83,2,4,120,2,0,257399,2,0,339.41,68646,20,1
3.16,2,5,465,1,1,261506,4,0.3,1470.46,73435,93,6443
3.16,2,5,259,2,2,262287,3,0.1,819.03,74340,37,3787
2.83,2,4,200,1,3,262427,2,0,565.69,74498,100,21659
3.16,2,5,250,1,4,262456,4,0.3,790.57,74529,50,2567
1,1,1,100,2,5,262604,1,0,100,74708,50,2173
2,2,2,400,1,6,262641,1,0,800,74755,100,4735
1.41,1,1,12,2,7,262669,1,0,16.97,74787,6,398
2.45,2,3,200,1,8,262730,2,0.17,489.9,74858,100,8956
1.41,1,2,118,1,9,262865,2,0,166.88,75013,59,4567
1.41,1,2,180,2,10,262955,2,0,254.56,75116,45,3795
2,2,2,100,2,11,262973,1,0,200,75135,50,3684
4,2,8,630,1,12,262983,4,0,2520,75147,105,13907
2,2,2,40,2,13,263000,1,0,80,75168,10,1504
2.45,2,3,144,2,14,263004,2,0.17,352.73,75173,24,5481
2,1,2,14,2,15,263052,2,0,28,75225,7,477
2,2,2,28,2,16,263053,1,0,56,75226,7,2141
1,1,1,12,2,17,263060,1,0,12,75234,6,1382
1.41,1,2,144,2,18,263072,2,0,203.65,75246,36,4611
1.41,1,2,48,2,19,263083,2,0,67.88,75259,12,1204
1,1,1,14,2,20,263096,1,0,14,75274,7,454
2.83,2,4,125,2,21,263097,2,0,353.55,75275,25,3683
1,1,1,6,2,22,263104,1,0,6,75283,3,754
2.45,2,3,159,2,23,263107,2,0.17,389.47,75286,53,6376
2,2,2,20,2,24,263109,1,0,40,75288,10,1287
3.46,2,6,385,2,25,263111,4,0.17,1333.68,75290,35,13547
2,2,2,48,2,26,263112,1,0,96,75291,12,1692
3.46,2,6,264,2,27,263113,4,0.17,914.52,75292,22,6919
2.24,1,5,50,2,28,263117,5,0,111.8,75297,10,1364
1,1,1,6,2,29,263128,1,0,6,75311,3,1308
3.46,2,6,30,2,30,263130,3,0,103.92,75313,3,2268
2,2,2,48,2,31,263132,1,0,96,75315,12,1740
1,1,1,50,2,32,263154,1,0,50,75343,50,1745
1,1,1,20,2,33,263169,1,0,20,75360,20,546
2,2,2,48,2,34,263176,1,0,96,75367,12,2876
2,1,2,36,2,35,263178,2,0,72,75369,9,6
1.41,1,2,18,2,36,263181,2,0,25.46,75372,6,1682
1,1,1,16,2,37,263191,1,0,16,75383,8,435
1.41,1,2,36,2,38,263200,2,0,50.91,75395,12,637
2,2,2,600,1,39,263203,1,0,1200,75398,150,13532
2,2,2,40,2,40,263220,1,0,80,75417,20,1860
2,2,2,20,2,41,263227,1,0,40,75425,5,2250
2.45,2,3,70,2,42,263228,2,0.17,171.46,75426,14,1185
1.41,1,2,500,1,43,263233,2,0,707.11,75434,250,2804
1.41,1,2,44,2,44,263234,2,0,62.23,75435,11,2542
1,1,1,14,2,45,263239,1,0,14,75441,7,424
2.83,2,4,270,2,46,263241,2,0,763.68,75443,45,5296
2,2,2,16,2,47,263244,1,0,32,75448,8,567
1,1,1,12,2,48,263251,1,0,12,75460,6,494
2,2,2,90,2,49,263255,1,0,180,75465,45,880
2,2,2,16,2,50,263257,1,0,32,75468,8,1934
2.45,2,3,312,2,51,263260,2,0.17,764.24,75471,52,10060
2,2,2,300,1,52,263261,1,0,600,75472,150,13745
1,1,1,14,2,53,263262,1,0,14,75473,14,696
1,1,1,36,2,54,263264,1,0,36,75475,18,896
2,2,2,30,2,55,263271,1,0,60,75486,15,1364
1.41,1,2,110,1,56,263274,2,0,155.56,75489,55,3850
1,1,1,20,2,57,263280,1,0,20,75496,10,776
1,1,1,12,2,58,263281,1,0,12,75497,6,228
2.45,2,3,156,1,59,263295,2,0.17,382.12,75511,78,5369
