,orderId,tab_id,dopa_id,runTime,tabsPerOrder,tab_tot_pcs,dopa_tot_imp,printer,dopa_tot_inks,dopas_per_tab,inks_per_tab,tot_imps_per_tab,tab_score_reg,tab_score_weighted,stationTypeId,good,actual,pred,WSPP,mult_dopa
3,307277,125662,201862,2163,1,15,45,404135,2,1,2,45,1.41421,63.6396,2,1,Manual,Manual,4.24264,0
4,307207,125567,201733,1276,1,7,7,404135,1,1,1,7,1,7,2,1,Manual,Manual,1,0
7,307195,125551,201705,1939,1,11,22,562266,1,1,1,22,1,22,2,1,Manual,Manual,2,0
8,307190,125546,201698,2765,1,50,100,562266,2,1,2,100,1.41421,141.421,2,0,Manual,Automatic,2.82842,0
13,307166,125521,201652,947,1,5,5,581359,1,1,1,5,1,5,2,1,Manual,Manual,1,0
14,307164,125518,201647,1666,1,30,30,179624,1,1,1,30,1,30,2,1,Manual,Manual,1,0
15,307163,125517,201646,27,1,28,56,562266,1,2,2,56,2,112,2,1,Manual,Manual,4,0
16,307138,125486,201600,559,1,2,4,299564,1,1,1,4,1,4,2,1,Manual,Manual,2,0
21,307092,125439,201521,735,1,3,6,541683,1,2,1,6,1.41421,8.48528,2,1,Manual,Manual,2.828426667,0
22,307088,125435,201516,1633,1,29,87,50866,2,1,2,87,1.41421,123.037,2,1,Manual,Manual,4.242655172,0
23,307085,125432,201512,200,1,7,7,179623,1,1,1,7,1,7,2,1,Manual,Manual,1,0
24,307076,125421,201499,117,1,4,4,179623,1,1,1,4,1,4,2,1,Manual,Manual,1,0
25,307074,125415,201488,1217,1,20,40,179624,1,1,1,40,1,40,2,1,Manual,Manual,2,0
26,307054,125391,201451,1872,1,7,14,581359,1,1,1,14,1,14,2,1,Manual,Manual,2,0
27,307046,125383,201439,3865,1,30,90,50866,2,1,2,90,1.41421,127.279,2,1,Manual,Manual,4.242633333,0
30,307031,125368,201419,2057,1,5,10,404135,1,1,1,10,1,10,2,1,Manual,Manual,2,0
37,306999,125337,201372,3850,1,40,120,299568,1,1,1,120,1,120,2,1,Manual,Manual,3,0
40,306984,125321,201346,293,1,8,8,541683,1,1,1,8,1,8,2,1,Manual,Manual,1,0
43,306958,125294,201306,431,1,8,16,53821,1,1,1,16,1,16,2,1,Manual,Manual,2,0
44,306957,125293,201305,318,1,4,8,191063,1,1,1,8,1,8,2,1,Manual,Manual,2,0
47,306946,125281,201291,1634,1,10,10,541683,1,1,1,10,1,10,2,1,Manual,Manual,1,0
48,306945,125280,201290,578,1,19,19,299568,1,1,1,19,1,19,2,1,Manual,Manual,1,0
49,306942,125277,201286,832,1,20,40,299568,1,1,1,40,1,40,2,1,Manual,Manual,2,0
56,306874,125204,201172,870,1,24,24,404135,1,1,1,24,1,24,2,1,Manual,Manual,1,0
61,306828,125157,201099,781,1,5,10,541683,1,1,1,10,1,10,2,1,Manual,Manual,2,0
62,306820,125148,201085,1126,1,23,23,530379,1,2,1,23,1.41421,32.5269,2,1,Manual,Manual,1.414213043,0
63,306819,125147,201084,2255,1,31,62,581359,3,1,3,62,1.73205,107.387,2,1,Manual,Manual,3.464096774,0
