"","orderId","tab_id","dopa_id","runTime","tabsPerOrder","tab_tot_pcs","dopa_tot_imp","printer","dopa_tot_inks","dopas_per_tab","inks_per_tab","tot_imps_per_tab","tab_score_reg","tab_score_weighted","stationTypeId","good","actual","pred","WSPP"
"1",307335,125731,201961,3063,1,43,86,299568,1,2,3,258,2.44949,631.968,2,1,"Manual","Manual",14.6969302325581
"2",307335,125731,201962,3063,1,43,172,299568,2,2,3,258,2.44949,631.968,2,1,"Manual","Manual",14.6969302325581
"3",307277,125662,201862,2163,1,15,45,404135,2,1,2,45,1.41421,63.6396,2,1,"Manual","Manual",4.24264
"4",307207,125567,201733,1276,1,7,7,404135,1,1,1,7,1,7,2,1,"Manual","Manual",1
"5",307200,125560,201720,1448,1,10,20,404135,1,2,2,40,2,80,2,1,"Manual","Manual",8
"6",307200,125560,201721,1448,1,10,20,404135,1,2,2,40,2,80,2,1,"Manual","Manual",8
"7",307195,125551,201705,1939,1,11,22,562266,1,1,1,22,1,22,2,1,"Manual","Manual",2
"8",307190,125546,201698,2765,1,50,100,562266,2,1,2,100,1.41421,141.421,2,0,"Manual","Automatic",2.82842
"9",307187,125543,201691,1115,1,11,22,299564,1,3,2,44,2.44949,107.778,2,1,"Manual","Manual",9.798
"10",307187,125543,201803,1115,1,11,22,299564,1,3,2,44,2.44949,107.778,2,1,"Manual","Manual",9.798
"11",307167,125522,201653,1095,1,7,7,404135,1,2,2,14,2,28,2,1,"Manual","Manual",4
"12",307167,125522,201654,1095,1,7,7,404135,1,2,2,14,2,28,2,1,"Manual","Manual",4
"13",307166,125521,201652,947,1,5,5,581359,1,1,1,5,1,5,2,1,"Manual","Manual",1
"14",307164,125518,201647,1666,1,30,30,179624,1,1,1,30,1,30,2,1,"Manual","Manual",1
"15",307163,125517,201646,27,1,28,56,562266,1,2,2,56,2,112,2,1,"Manual","Manual",4
"16",307138,125486,201600,559,1,2,4,299564,1,1,1,4,1,4,2,1,"Manual","Manual",2
"17",307121,125469,201570,92725,1,250,250,490995,2,2,4,500,2.82843,1414.21,1,1,"Automatic","Automatic",5.65684
"18",307121,125469,201571,92725,1,250,250,490995,2,2,4,500,2.82843,1414.21,1,1,"Automatic","Automatic",5.65684
"19",307095,125442,201526,1766,1,13,26,53821,2,2,3,39,2.44949,95.5301,2,1,"Manual","Manual",7.34846923076923
"20",307095,125442,201527,1766,1,13,13,53821,1,2,3,39,2.44949,95.5301,2,1,"Manual","Manual",7.34846923076923
"21",307092,125439,201521,735,1,3,6,541683,1,2,1,6,1.41421,8.48528,2,1,"Manual","Manual",2.82842666666667
"22",307088,125435,201516,1633,1,29,87,50866,2,1,2,87,1.41421,123.037,2,1,"Manual","Manual",4.24265517241379
"23",307085,125432,201512,200,1,7,7,179623,1,1,1,7,1,7,2,1,"Manual","Manual",1
"24",307076,125421,201499,117,1,4,4,179623,1,1,1,4,1,4,2,1,"Manual","Manual",1
"25",307074,125415,201488,1217,1,20,40,179624,1,1,1,40,1,40,2,1,"Manual","Manual",2
"26",307054,125391,201451,1872,1,7,14,581359,1,1,1,14,1,14,2,1,"Manual","Manual",2
"27",307046,125383,201439,3865,1,30,90,50866,2,1,2,90,1.41421,127.279,2,1,"Manual","Manual",4.24263333333333
"28",307034,125371,201423,3611,1,43,86,53821,2,2,3,129,2.44949,315.984,2,1,"Manual","Manual",7.34846511627907
"29",307034,125371,201424,3611,1,43,43,53821,1,2,3,129,2.44949,315.984,2,1,"Manual","Manual",7.34846511627907
"30",307031,125368,201419,2057,1,5,10,404135,1,1,1,10,1,10,2,1,"Manual","Manual",2
"31",307030,125367,201417,5297,1,30,60,299567,1,2,2,120,2,240,2,1,"Manual","Manual",8
"32",307030,125367,201418,5297,1,30,60,299567,1,2,2,120,2,240,2,1,"Manual","Manual",8
"33",307011,125350,201391,1248,1,4,8,404135,1,2,2,16,2,32,2,1,"Manual","Manual",8
"34",307011,125350,201392,1248,1,4,8,404135,1,2,2,16,2,32,2,1,"Manual","Manual",8
"35",307004,125342,201380,3,1,19,57,541683,2,2,4,114,2.82843,322.441,2,1,"Manual","Manual",16.9705789473684
"36",307004,125342,201381,3,1,19,57,541683,2,2,4,114,2.82843,322.441,2,1,"Manual","Manual",16.9705789473684
"37",306999,125337,201372,3850,1,40,120,299568,1,1,1,120,1,120,2,1,"Manual","Manual",3
"38",306995,125333,201366,2364,1,25,25,299568,1,2,2,50,2,100,2,1,"Manual","Manual",4
"39",306995,125333,201367,2364,1,25,25,299568,1,2,2,50,2,100,2,1,"Manual","Manual",4
"40",306984,125321,201346,293,1,8,8,541683,1,1,1,8,1,8,2,1,"Manual","Manual",1
"41",306970,125307,201325,1280,1,18,18,299568,1,2,2,36,2,72,2,1,"Manual","Manual",4
"42",306970,125307,201326,1280,1,18,18,299568,1,2,2,36,2,72,2,1,"Manual","Manual",4
"43",306958,125294,201306,431,1,8,16,53821,1,1,1,16,1,16,2,1,"Manual","Manual",2
"44",306957,125293,201305,318,1,4,8,191063,1,1,1,8,1,8,2,1,"Manual","Manual",2
"45",306954,125290,201301,2126,1,5,15,299568,2,2,4,30,2.82843,84.8528,2,1,"Manual","Manual",16.97056
"46",306954,125290,201302,2126,1,5,15,299568,2,2,4,30,2.82843,84.8528,2,1,"Manual","Manual",16.97056
"47",306946,125281,201291,1634,1,10,10,541683,1,1,1,10,1,10,2,1,"Manual","Manual",1
"48",306945,125280,201290,578,1,19,19,299568,1,1,1,19,1,19,2,1,"Manual","Manual",1
"49",306942,125277,201286,832,1,20,40,299568,1,1,1,40,1,40,2,1,"Manual","Manual",2
"50",306924,125254,201252,1228,1,6,12,179624,1,2,2,24,2,48,2,1,"Manual","Manual",8
"51",306924,125254,201253,1228,1,6,12,404135,1,2,2,24,2,48,2,1,"Manual","Manual",8
"52",306913,125241,201229,2587,1,6,12,541683,1,2,2,24,2,48,2,1,"Manual","Manual",8
"53",306913,125241,201230,2587,1,6,12,541683,1,2,2,24,2,48,2,1,"Manual","Manual",8
"54",306901,125229,201209,1676,1,15,15,404135,1,2,2,45,2,90,2,1,"Manual","Manual",6
"55",306901,125229,201210,1676,1,15,30,404135,1,2,2,45,2,90,2,1,"Manual","Manual",6
"56",306874,125204,201172,870,1,24,24,404135,1,1,1,24,1,24,2,1,"Manual","Manual",1
"57",306847,125176,201128,1690,1,6,12,581359,1,2,2,24,2,48,2,1,"Manual","Manual",8
"58",306847,125176,201129,1690,1,6,12,581359,1,2,2,24,2,48,2,1,"Manual","Manual",8
"59",306842,125171,201119,3009,1,12,24,541683,2,2,4,48,2.82843,135.764,2,1,"Manual","Manual",11.3136666666667
"60",306842,125171,201120,3009,1,12,24,541683,2,2,4,48,2.82843,135.764,2,1,"Manual","Manual",11.3136666666667
"61",306828,125157,201099,781,1,5,10,541683,1,1,1,10,1,10,2,1,"Manual","Manual",2
"62",306820,125148,201085,1126,1,23,23,530379,1,2,1,23,1.41421,32.5269,2,1,"Manual","Manual",1.41421304347826
"63",306819,125147,201084,2255,1,31,62,581359,3,1,3,62,1.73205,107.387,2,1,"Manual","Manual",3.46409677419355
"64",306809,125136,201071,484,1,15,15,191063,1,1,1,15,1,15,2,1,"Manual","Manual",1
"65",306795,125118,201048,2141,1,18,18,541683,1,2,2,36,2,72,2,1,"Manual","Manual",4
"66",306795,125118,201049,2141,1,18,18,541683,1,2,2,36,2,72,2,1,"Manual","Manual",4
"67",306758,125072,200976,5488,1,57,114,490995,1,2,2,114,2,228,1,1,"Automatic","Automatic",4
"68",306742,125054,200948,426,1,8,16,299568,1,2,2,32,2,64,2,1,"Manual","Manual",8
"69",306742,125054,200949,426,1,8,16,299568,1,2,2,32,2,64,2,1,"Manual","Manual",8
"70",306734,125044,200928,11,1,42,84,562266,1,1,1,84,1,84,2,1,"Manual","Manual",2
"71",306730,125039,200920,1059,1,10,20,541683,1,1,1,20,1,20,2,1,"Manual","Manual",2
"72",306717,125025,200899,1262,1,25,75,242885,2,2,2,75,2,150,2,1,"Manual","Manual",6
"73",306710,125015,200884,1608,1,58,116,490995,3,1,3,116,1.73205,200.918,1,1,"Automatic","Automatic",3.46410344827586
"74",306709,125014,200882,990,1,19,19,299568,1,2,2,38,2,76,2,1,"Manual","Manual",4
"75",306709,125014,200883,990,1,19,19,299568,1,2,2,38,2,76,2,1,"Manual","Manual",4
"76",306702,125005,200869,3220,1,60,60,53821,1,1,1,60,1,60,2,0,"Manual","Automatic",1
"77",306699,125002,200864,4207,1,44,44,581359,1,2,2,88,2,176,2,1,"Manual","Manual",4
"78",306699,125002,200865,4207,1,44,44,581359,1,2,2,88,2,176,2,1,"Manual","Manual",4
"79",306694,124993,200847,999,1,12,12,53821,1,2,2,24,2,48,2,1,"Manual","Manual",4
"80",306694,124993,200848,999,1,12,12,53821,1,2,2,24,2,48,2,1,"Manual","Manual",4
"81",306690,124989,200841,819,1,11,22,50866,1,2,2,44,2,88,2,1,"Manual","Manual",8
"82",306690,124989,200842,819,1,11,22,50866,1,2,2,44,2,88,2,1,"Manual","Manual",8
"83",306688,124987,200838,1759,1,14,28,581359,2,2,4,56,2.82843,158.392,2,1,"Manual","Manual",11.3137142857143
"84",306688,124987,200839,1759,1,14,28,581359,2,2,4,56,2.82843,158.392,2,1,"Manual","Manual",11.3137142857143
"85",306684,124983,200832,1058,1,6,12,541683,1,2,2,24,2,48,2,1,"Manual","Manual",8
"86",306684,124983,200833,1058,1,6,12,541683,1,2,2,24,2,48,2,1,"Manual","Manual",8
"87",306682,124979,200828,15618,1,150,150,53823,4,2,8,150,4,600,1,1,"Automatic","Automatic",4
"88",306677,124973,200819,1277,1,18,18,541683,1,2,2,36,2,72,2,1,"Manual","Manual",4
"89",306677,124973,200820,1277,1,18,18,541683,1,2,2,36,2,72,2,1,"Manual","Manual",4
"90",306675,124971,200816,5943,1,22,44,562266,1,2,2,88,2,176,2,1,"Manual","Manual",8
"91",306675,124971,200817,5943,1,22,44,562266,1,2,2,88,2,176,2,1,"Manual","Manual",8
"92",306668,124964,200804,742,1,12,24,562266,2,1,2,24,1.41421,33.9411,2,1,"Manual","Manual",2.828425
"93",306667,124963,200802,1179,1,7,14,541683,1,2,2,28,2,56,2,1,"Manual","Manual",8
"94",306667,124963,200803,1179,1,7,14,541683,1,2,2,28,2,56,2,1,"Manual","Manual",8
"95",306661,124957,200793,11,1,3,6,562266,1,1,1,6,1,6,2,1,"Manual","Manual",2
"96",306660,124956,200792,3,1,6,18,541683,2,1,2,18,1.41421,25.4558,2,1,"Manual","Manual",4.24263333333333
"97",306659,124955,200790,6086,1,16,32,581359,2,2,4,64,2.82843,181.019,2,1,"Manual","Manual",11.3136875
"98",306659,124955,200791,6086,1,16,32,581359,2,2,4,64,2.82843,181.019,2,1,"Manual","Manual",11.3136875
"99",306656,124951,200783,3986,1,22,88,50866,5,2,10,176,4.47214,787.096,2,1,"Manual","Manual",35.7770909090909
"100",306656,124951,200784,3986,1,22,88,50866,5,2,10,176,4.47214,787.096,2,1,"Manual","Manual",35.7770909090909
"101",306647,124942,200768,582,1,6,6,299568,1,1,1,6,1,6,2,1,"Manual","Manual",1
"102",306639,124929,200743,4086,1,27,54,404135,2,2,3,81,2.44949,198.409,2,1,"Manual","Manual",7.34848148148148
"103",306639,124929,200744,4086,1,27,27,404135,1,2,3,81,2.44949,198.409,2,1,"Manual","Manual",7.34848148148148
"104",306638,124928,200742,4746,1,23,46,581359,1,1,1,46,1,46,2,1,"Manual","Manual",2
"105",306632,124921,200729,3343,1,21,42,299568,1,2,2,84,2,168,2,1,"Manual","Manual",8
"106",306632,124921,200730,3343,1,21,42,299568,1,2,2,84,2,168,2,1,"Manual","Manual",8
"107",306624,124910,200712,7806,1,18,18,562266,1,2,2,36,2,72,2,1,"Manual","Manual",4
"108",306624,124910,200713,7806,1,18,18,562266,1,2,2,36,2,72,2,1,"Manual","Manual",4
"109",306623,124909,200711,563,1,4,8,299568,1,1,1,8,1,8,2,1,"Manual","Manual",2
"110",306621,124906,200708,1103,1,48,48,299568,1,1,1,48,1,48,2,1,"Manual","Manual",1
"111",306618,124902,200702,4869,1,50,100,242865,1,2,2,200,2,400,1,1,"Automatic","Automatic",8
"112",306618,124902,200703,4869,1,50,100,242865,1,2,2,200,2,400,1,1,"Automatic","Automatic",8
"113",306612,124893,200687,20,1,3,3,562266,1,2,2,9,2,18,2,1,"Manual","Manual",6
"114",306612,124893,200688,20,1,3,6,562266,1,2,2,9,2,18,2,1,"Manual","Manual",6
"115",306606,124887,200681,403,1,10,10,53821,1,1,1,10,1,10,2,1,"Manual","Manual",1
"116",306602,124882,200675,4281,1,20,40,179624,1,2,2,80,2,160,2,1,"Manual","Manual",8
"117",306602,124882,200676,4281,1,20,40,179624,1,2,2,80,2,160,2,1,"Manual","Manual",8
"118",306601,124881,200674,17,1,3,3,562266,1,1,1,3,1,3,2,1,"Manual","Manual",1
"119",306595,124873,200662,1587,1,8,24,191063,1,2,2,48,2,96,2,1,"Manual","Manual",12
"120",306595,124873,200663,1587,1,8,24,191063,1,2,2,48,2,96,2,1,"Manual","Manual",12
"121",306593,124871,200660,2507,1,18,36,562266,1,2,2,36,2,72,2,1,"Manual","Manual",4
"122",306592,124870,200657,4723,1,155,310,50883,2,1,2,310,1.41421,438.406,1,1,"Automatic","Automatic",2.82842580645161
"123",306583,124859,200642,3580,1,150,300,530375,1,1,1,300,1,300,2,0,"Manual","Automatic",2
"124",306582,124858,200641,1350,1,6,12,581359,1,1,1,12,1,12,2,1,"Manual","Manual",2
"125",306579,124855,200637,4501,1,25,50,53821,1,2,2,50,2,100,2,1,"Manual","Manual",4
"126",306570,124849,200625,930,1,24,48,404135,1,1,1,48,1,48,2,1,"Manual","Manual",2
"127",306558,124835,200607,699,1,38,114,50866,2,1,2,114,1.41421,161.22,2,1,"Manual","Manual",4.24263157894737
"128",306553,124831,200598,1528,1,49,49,53821,1,2,1,49,1.41421,69.2965,2,1,"Manual","Manual",1.41421428571429
"129",306547,124825,200588,359,1,12,24,191063,1,1,1,24,1,24,2,1,"Manual","Manual",2
"130",306544,124822,200582,1137,1,26,52,299568,1,2,2,104,2,208,2,1,"Manual","Manual",8
"131",306544,124822,200583,1137,1,26,52,299568,1,2,2,104,2,208,2,1,"Manual","Manual",8
"132",306541,124820,200580,2302,1,3,6,404135,2,1,2,6,1.41421,8.48528,2,1,"Manual","Manual",2.82842666666667
"133",306535,124819,200578,36,1,3,6,50866,1,2,2,12,2,24,2,1,"Manual","Manual",8
"134",306535,124819,200579,36,1,3,6,50866,1,2,2,12,2,24,2,1,"Manual","Manual",8
"135",306532,124815,200571,4763,1,30,90,299568,1,2,2,180,2,360,2,1,"Manual","Manual",12
"136",306532,124815,200572,4763,1,30,90,299568,1,2,2,180,2,360,2,1,"Manual","Manual",12
"137",306521,124804,200552,2641,1,31,62,53821,1,2,2,124,2,248,2,1,"Manual","Manual",8
"138",306521,124804,200553,2641,1,31,62,53821,1,2,2,124,2,248,2,1,"Manual","Manual",8
"139",306520,124803,200550,588,1,3,3,299568,1,2,2,6,2,12,2,1,"Manual","Manual",4
"140",306520,124803,200551,588,1,3,3,299568,1,2,2,6,2,12,2,1,"Manual","Manual",4
"141",306517,124800,200544,3087,1,25,50,541683,1,2,2,100,2,200,2,1,"Manual","Manual",8
"142",306517,124800,200545,3087,1,25,50,541683,1,2,2,100,2,200,2,1,"Manual","Manual",8
"143",306514,124796,200539,1727,1,50,50,179624,1,1,1,50,1,50,2,1,"Manual","Manual",1
"144",306513,124795,200537,881,1,12,12,242865,2,2,2,12,2,24,2,1,"Manual","Manual",2
"145",306511,124793,200534,626,1,3,3,299568,1,1,1,3,1,3,2,1,"Manual","Manual",1
"146",306506,124787,200525,14,1,6,6,50866,1,1,1,6,1,6,2,1,"Manual","Manual",1
"147",306502,124782,200516,2807,1,10,10,581359,1,1,1,10,1,10,2,1,"Manual","Manual",1
"148",306496,124776,200506,3258,1,30,90,299568,2,2,4,180,2.82843,509.117,2,1,"Manual","Manual",16.9705666666667
"149",306496,124776,200507,3258,1,30,90,299568,2,2,4,180,2.82843,509.117,2,1,"Manual","Manual",16.9705666666667
"150",306493,124773,200501,236,1,4,8,562266,2,1,2,8,1.41421,11.3137,2,1,"Manual","Manual",2.828425
"151",306491,124771,200497,1642,1,16,32,404135,1,2,2,64,2,128,2,1,"Manual","Manual",8
"152",306491,124771,200498,1642,1,16,32,404135,1,2,2,64,2,128,2,1,"Manual","Manual",8
"153",306489,124769,200494,3249,1,42,84,404135,2,2,3,126,2.44949,308.636,2,1,"Manual","Manual",7.34847619047619
"154",306489,124769,200495,3249,1,42,42,404135,1,2,3,126,2.44949,308.636,2,1,"Manual","Manual",7.34847619047619
"155",306486,124767,200492,395,1,5,10,190801,1,1,1,10,1,10,2,1,"Manual","Manual",2
"156",306476,124750,200466,645,1,3,6,404135,1,1,1,6,1,6,2,1,"Manual","Manual",2
"157",306473,124747,200461,5851,1,24,72,179624,2,2,4,144,2.82843,407.294,2,1,"Manual","Manual",16.9705833333333
"158",306473,124747,200462,5851,1,24,72,50866,2,2,4,144,2.82843,407.294,2,1,"Manual","Manual",16.9705833333333
"159",306468,124742,200453,2145,1,40,80,50866,1,2,2,160,2,320,2,1,"Manual","Manual",8
"160",306468,124742,200454,2145,1,40,80,50866,1,2,2,160,2,320,2,1,"Manual","Manual",8
"161",306460,124731,200436,411,1,33,33,404135,1,1,1,33,1,33,2,1,"Manual","Manual",1
"162",306455,124726,200427,392,1,3,6,299568,1,1,1,6,1,6,2,1,"Manual","Manual",2
"163",306452,124723,200422,123,1,7,14,562266,1,2,1,14,1.41421,19.799,2,1,"Manual","Manual",2.82842857142857
"164",306447,124717,200410,1689,1,13,13,299564,1,3,3,39,3,117,2,1,"Manual","Manual",9
"165",306447,124717,200411,1689,1,13,26,299564,2,3,3,39,3,117,2,1,"Manual","Manual",9
"166",306445,124715,200404,551,1,11,11,562266,1,2,2,22,2,44,2,1,"Manual","Manual",4
"167",306445,124715,200405,551,1,11,11,562266,1,2,2,22,2,44,2,1,"Manual","Manual",4
"168",306443,124713,200400,3484,1,30,30,541683,1,2,2,60,2,120,2,1,"Manual","Manual",4
"169",306443,124713,200401,3484,1,30,30,541683,1,2,2,60,2,120,2,1,"Manual","Manual",4
"170",306430,124698,200373,7382,1,36,72,530379,1,2,2,144,2,288,2,1,"Manual","Manual",8
"171",306430,124698,200374,7382,1,36,72,530379,1,2,2,144,2,288,2,1,"Manual","Manual",8
"172",306428,124696,200369,588,1,5,15,242865,2,1,2,15,1.41421,21.2132,2,1,"Manual","Manual",4.24264
"173",306423,124692,200363,3143,1,6,12,581359,1,2,2,24,2,48,2,1,"Manual","Manual",8
"174",306423,124692,200364,3143,1,6,12,581359,1,2,2,24,2,48,2,1,"Manual","Manual",8
"175",306422,124691,200361,258,1,3,6,191063,1,2,1,6,1.41421,8.48528,2,1,"Manual","Manual",2.82842666666667
"176",306417,124687,200354,1980,1,50,50,530379,1,1,1,50,1,50,2,1,"Manual","Manual",1
"177",306416,124686,200352,3065,1,11,22,404135,2,2,2,22,2,44,2,1,"Manual","Manual",4
"178",306414,124683,200348,1257,1,15,30,299564,1,2,2,60,2,120,2,1,"Manual","Manual",8
"179",306414,124683,200349,1257,1,15,30,299564,1,2,2,60,2,120,2,1,"Manual","Manual",8
"180",306404,124671,200328,556,1,5,10,191063,1,1,1,10,1,10,2,1,"Manual","Manual",2
"181",306397,124663,200316,4435,1,13,13,581359,1,2,2,26,2,52,2,1,"Manual","Manual",4
"182",306397,124663,200317,4435,1,13,13,581359,1,2,2,26,2,52,2,1,"Manual","Manual",4
"183",306395,124661,200313,4811,1,38,76,581359,1,2,1,76,1.41421,107.48,2,1,"Manual","Manual",2.82842105263158
"184",306392,124657,200305,962,1,10,10,299568,1,2,2,20,2,40,2,1,"Manual","Manual",4
"185",306392,124657,200306,962,1,10,10,299568,1,2,2,20,2,40,2,1,"Manual","Manual",4
"186",306388,124653,200299,1264,1,6,6,404135,1,1,1,6,1,6,2,1,"Manual","Manual",1
"187",306387,124651,200296,4807,1,4,8,581359,1,2,2,16,2,32,2,1,"Manual","Manual",8
"188",306387,124651,200297,4807,1,4,8,581359,1,2,2,16,2,32,2,1,"Manual","Manual",8
"189",306386,124650,200295,277,1,3,6,50866,1,1,1,6,1,6,2,1,"Manual","Manual",2
"190",306384,124648,200292,465,1,10,20,242865,1,1,1,20,1,20,2,1,"Manual","Manual",2
"191",306379,124643,200285,12,1,6,24,50866,2,2,4,48,2.82843,135.764,2,1,"Manual","Manual",22.6273333333333
"192",306379,124643,200286,12,1,6,24,50866,2,2,4,48,2.82843,135.764,2,1,"Manual","Manual",22.6273333333333
"193",306375,124639,200277,1390,1,6,12,299568,1,2,1,12,1.41421,16.9706,2,1,"Manual","Manual",2.82843333333333
"194",306370,124633,200268,5,1,19,19,191063,1,2,2,38,2,76,2,1,"Manual","Manual",4
"195",306370,124633,200269,5,1,19,19,191063,1,2,2,38,2,76,2,1,"Manual","Manual",4
"196",306369,124632,200267,2203,1,16,32,404135,1,2,1,32,1.41421,45.2548,2,1,"Manual","Manual",2.828425
"197",306368,124631,200264,2710,1,10,20,53821,1,2,2,40,2,80,2,1,"Manual","Manual",8
"198",306368,124631,200265,2710,1,10,20,53821,1,2,2,40,2,80,2,1,"Manual","Manual",8
"199",306366,124628,200258,4961,1,20,40,404135,2,2,4,80,2.82843,226.274,2,1,"Manual","Manual",11.3137
"200",306366,124628,200259,4961,1,20,40,404135,2,2,4,80,2.82843,226.274,2,1,"Manual","Manual",11.3137
"201",306361,124623,200251,282,1,3,3,179624,1,1,1,3,1,3,2,1,"Manual","Manual",1
"202",306358,124620,200247,648,1,14,28,191063,1,1,1,28,1,28,2,1,"Manual","Manual",2
"203",306353,124615,200239,309,1,3,6,404135,1,1,1,6,1,6,2,1,"Manual","Manual",2
"204",306342,124603,200222,2330,1,11,22,299568,1,2,1,22,1.41421,31.1127,2,1,"Manual","Manual",2.82842727272727
"205",306339,124600,200217,1907,1,10,20,541683,1,2,2,40,2,80,2,1,"Manual","Manual",8
"206",306339,124600,200218,1907,1,10,20,541683,1,2,2,40,2,80,2,1,"Manual","Manual",8
"207",306333,124590,200201,484,1,1,2,299564,1,2,2,4,2,8,2,1,"Manual","Manual",8
"208",306333,124590,200202,484,1,1,2,299564,1,2,2,4,2,8,2,1,"Manual","Manual",8
"209",306328,124585,200193,732,1,10,70,50866,6,2,7,90,3.74166,336.749,2,1,"Manual","Manual",33.6749
"210",306328,124585,200194,732,1,10,20,50866,1,2,7,90,3.74166,336.749,2,1,"Manual","Manual",33.6749
"211",306322,124577,200183,13,1,14,28,562266,1,1,1,28,1,28,2,1,"Manual","Manual",2
"212",306316,124564,200169,5046,1,11,22,541683,1,2,2,44,2,88,2,1,"Manual","Manual",8
"213",306316,124564,200170,5046,1,11,22,541683,1,2,2,44,2,88,2,1,"Manual","Manual",8
"214",306315,124563,200167,1252,1,15,30,541683,1,2,1,30,1.41421,42.4264,2,1,"Manual","Manual",2.82842666666667
"215",306314,124562,200165,54,1,4,28,50866,4,2,4,28,2.82843,79.196,2,1,"Manual","Manual",19.799
"216",306306,124555,200156,6974,1,60,120,490995,1,2,2,240,2,480,1,0,"Automatic","Manual",8
"217",306306,124555,200157,6974,1,60,120,490995,1,2,2,240,2,480,1,0,"Automatic","Manual",8
"218",306303,124553,200152,641,1,3,3,50866,1,2,3,12,2.44949,29.3939,2,1,"Manual","Manual",9.79796666666667
"219",306303,124553,200153,641,1,3,9,50866,2,2,3,12,2.44949,29.3939,2,1,"Manual","Manual",9.79796666666667
"220",306296,124545,200140,3161,1,26,52,53821,1,2,2,104,2,208,2,1,"Manual","Manual",8
"221",306296,124545,200141,3161,1,26,52,53821,1,2,2,104,2,208,2,1,"Manual","Manual",8
"222",306295,124544,200139,380,1,14,28,299568,1,1,1,28,1,28,2,1,"Manual","Manual",2
"223",306294,124543,200137,611,1,20,20,50866,1,1,1,20,1,20,2,1,"Manual","Manual",1
"224",306291,124540,200132,2129,1,35,35,404135,1,2,2,70,2,140,2,1,"Manual","Manual",4
"225",306291,124540,200133,2129,1,35,35,404135,1,2,2,70,2,140,2,1,"Manual","Manual",4
"226",306289,124538,200130,510,1,6,12,53821,1,1,1,12,1,12,2,1,"Manual","Manual",2
"227",306279,124522,200100,4001,1,8,16,404135,1,2,2,32,2,64,2,1,"Manual","Manual",8
"228",306279,124522,200101,4001,1,8,16,404135,1,2,2,32,2,64,2,1,"Manual","Manual",8
"229",306278,124521,200099,445,1,3,6,50866,1,1,1,6,1,6,2,1,"Manual","Manual",2
"230",306272,124514,200090,1021,1,15,30,404135,1,1,1,30,1,30,2,1,"Manual","Manual",2
"231",306268,124510,200083,861,1,13,26,299568,1,1,1,26,1,26,2,1,"Manual","Manual",2
"232",306260,124501,200070,6674,1,50,100,50883,2,2,4,200,2.82843,565.685,1,1,"Automatic","Automatic",11.3137
"233",306260,124501,200071,6674,1,50,100,50883,2,2,4,200,2.82843,565.685,1,1,"Automatic","Automatic",11.3137
"234",306257,124498,200065,1095,1,15,30,53821,1,1,1,30,1,30,2,1,"Manual","Manual",2
"235",306256,124497,200063,4250,1,21,42,50866,1,2,2,84,2,168,2,1,"Manual","Manual",8
"236",306256,124497,200064,4250,1,21,42,50866,1,2,2,84,2,168,2,1,"Manual","Manual",8
"237",306248,124484,200042,287,1,6,6,562266,1,2,2,12,2,24,2,1,"Manual","Manual",4
"238",306248,124484,200043,287,1,6,6,562266,1,2,2,12,2,24,2,1,"Manual","Manual",4
"239",306241,124475,200030,1149,1,8,16,541683,1,1,1,16,1,16,2,1,"Manual","Manual",2
"240",306238,124472,200025,1537,1,15,30,299568,2,1,2,30,1.41421,42.4264,2,1,"Manual","Manual",2.82842666666667
"241",306235,124469,200020,108,1,3,6,299568,1,1,1,6,1,6,2,1,"Manual","Manual",2
"242",306232,124460,200003,2029,1,6,12,404135,1,2,2,24,2,48,2,1,"Manual","Manual",8
"243",306232,124460,200004,2029,1,6,12,404135,1,2,2,24,2,48,2,1,"Manual","Manual",8
"244",306228,124456,199996,3625,1,12,24,581359,1,2,2,48,2,96,2,1,"Manual","Manual",8
"245",306228,124456,199997,3625,1,12,24,581359,1,2,2,48,2,96,2,1,"Manual","Manual",8
"246",306227,124455,199995,2624,1,20,40,299568,1,1,1,40,1,40,2,1,"Manual","Manual",2
"247",306224,124452,199991,675,1,8,16,299568,1,1,1,16,1,16,2,1,"Manual","Manual",2
"248",306218,124446,199982,2421,1,24,48,53821,1,2,2,96,2,192,2,1,"Manual","Manual",8
"249",306218,124446,199983,2421,1,24,48,53821,1,2,2,96,2,192,2,1,"Manual","Manual",8
"250",306214,124442,199977,2262,1,30,30,190801,1,1,1,30,1,30,2,1,"Manual","Manual",1
"251",306213,124441,199975,198,1,9,9,53821,1,2,2,18,2,36,2,1,"Manual","Manual",4
"252",306213,124441,199976,198,1,9,9,53821,1,2,2,18,2,36,2,1,"Manual","Manual",4
