"","runtime","qty","totImps","totInks","maxInks","locs"
"1",6443,93,465,5,4,2
"2",2567,50,250,5,4,2
"3",4735,100,400,2,1,2
"5",2804,250,500,2,2,1
"6",3850,55,110,2,2,1
"7",5369,78,156,3,2,2
"8",6673,73,365,5,3,2
"9",2712,90,90,2,2,1
"10",5853,89,178,4,2,2
"11",3655,59,236,2,1,2
"12",4390,191,573,3,2,2
"13",1248,100,100,1,1,1
"14",1085,54,162,4,3,2
"15",3687,80,320,2,1,2
"16",1293,100,200,1,1,1
"17",8191,205,820,2,1,2
"18",4075,150,150,1,1,1
"19",2920,70,140,4,2,2
"20",4433,73,292,2,1,2
"21",2867,108,324,4,2,2
"22",2948,69,138,2,1,2
"23",6026,152,608,4,3,2
"24",2251,100,200,1,1,1
"25",4504,100,400,1,1,1
"26",4024,65,260,4,2,2
"27",4001,105,210,4,3,2
"28",3765,87,174,4,3,2
"29",2992,200,200,1,1,1
"30",4615,100,400,2,1,2
"32",1440,44,44,1,1,1
"33",1683,72,144,2,2,1
"34",843,100,100,2,2,1
"35",1641,50,200,2,1,2
"36",3525,59,118,2,1,2
"37",3104,90,270,1,1,1
"38",1165,40,40,2,2,1
"40",4383,65,260,7,6,2
"42",2010,70,210,4,3,2
"43",9480,100,500,4,3,2
"45",7194,100,300,2,1,2
"46",2627,50,150,3,3,1
"47",1696,100,100,1,1,1
"49",4779,45,180,4,2,2
"50",3901,58,174,6,6,1
"52",5373,57,285,7,6,2
"53",6053,144,288,2,1,2
"55",1779,98,98,1,1,1
"56",921,49,49,1,1,1
"57",1265,30,60,2,2,1
"59",3729,35,140,4,2,2
"60",2446,50,100,2,1,2
"61",2529,150,300,2,1,2
"62",4597,100,200,2,2,1
"63",8361,83,415,8,6,2
"64",2754,44,176,2,1,2
"65",4345,100,400,6,3,2
"66",3229,51,255,6,4,2
"67",1372,40,160,2,1,2
"68",608,50,50,1,1,1
"69",5153,150,300,1,1,1
"70",1470,40,160,4,2,2
"71",5881,81,243,2,1,2
"72",4410,70,140,5,3,2
"74",2714,50,100,1,1,1
"75",1292,40,120,3,2,2
"76",4583,63,189,6,6,1
"77",1310,65,130,1,1,1
"78",3232,120,240,2,1,2
"79",1159,66,66,1,1,1
"81",673,40,80,1,1,1
"82",4322,58,232,2,1,2
"83",6754,200,400,4,3,2
"84",3817,50,150,3,3,1
"85",3926,50,250,3,1,3
"86",1763,100,100,1,1,1
"88",3957,51,204,2,1,2
"89",440,30,60,1,1,1
"90",5784,60,180,6,6,1
"91",1772,30,60,3,2,2
"92",3194,68,272,2,1,2
"93",2571,62,124,6,4,2
"94",1000,30,30,2,2,1
"95",3738,50,250,4,3,2
"96",700,42,84,1,1,1
"97",1019,30,60,1,1,1
"98",2035,40,80,2,1,2
"99",2601,60,240,2,1,2
"100",4441,140,280,3,2,2
"101",1918,80,80,1,1,1
"102",521,45,45,1,1,1
"103",2379,50,300,2,1,2
"104",700,60,120,3,2,2
"105",2643,101,404,2,1,2
"106",1810,56,112,1,1,1
"107",2754,100,200,2,1,2
"108",3587,58,116,2,1,2
"109",3567,40,160,2,1,2
"110",1409,40,160,2,1,2
"111",3560,176,352,2,1,2
"112",753,60,60,1,1,1
"113",3812,66,132,2,1,2
"114",1137,35,70,2,2,1
"115",2088,50,100,2,1,2
"116",3493,41,164,2,1,2
"117",526,64,64,1,1,1
"119",4285,40,200,4,3,2
"120",1230,50,100,2,2,1
"121",2153,45,90,2,1,2
"122",2161,51,204,4,2,2
"123",1736,38,76,1,1,1
"124",2037,92,184,2,1,2
"125",1005,50,100,2,2,1
"126",427,40,80,2,2,1
"127",658,38,76,1,1,1
"128",2464,35,140,2,1,2
"129",855,30,120,2,1,2
"130",2427,78,156,2,1,2
"131",8812,115,690,7,6,2
"132",1838,50,100,2,1,2
"133",795,56,112,3,3,1
"134",1730,51,204,2,1,2
"135",1472,75,150,2,2,1
"136",1651,50,50,1,1,1
"137",2435,45,180,2,1,2
"139",2778,40,120,3,2,2
"141",4408,80,160,2,2,1
"142",1087,50,100,1,1,1
"143",502,50,100,2,2,1
"144",5468,70,280,4,2,2
"145",1582,50,100,2,1,2
"146",3522,100,200,2,1,2
"147",5962,41,205,4,2,2
"148",2506,70,140,2,1,2
"150",1435,55,220,2,1,2
"151",1577,33,66,1,1,1
"152",2613,90,360,2,1,2
"153",2115,70,350,3,2,2
"154",1161,50,50,1,1,1
"155",1877,84,336,2,1,2
"156",1634,55,110,2,1,2
"157",2101,34,68,2,1,2
"158",6349,80,560,5,3,2
"159",788,37,148,2,1,2
"160",1874,80,160,3,3,1
"161",957,63,63,1,1,1
"162",819,40,80,2,2,1
"164",1744,75,225,3,2,2
"165",1556,44,220,3,2,2
"166",2600,42,84,2,2,1
"167",707,30,30,1,1,1
"168",4548,49,245,4,3,2
"169",1899,44,132,3,2,2
"170",1802,40,80,1,1,1
"171",329,42,42,1,1,1
"172",1266,50,50,2,2,1
"173",2757,49,294,4,2,2
"174",515,89,89,1,1,1
"175",2200,40,80,3,2,2
"176",1086,75,75,2,2,1
"177",1933,160,160,4,4,1
