"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini","timePerPc","timePerImp","inksPerPc"
"1",6443,1,93,465,4,5,2,0.3,69.2795698924731,13.8559139784946,0.0537634408602151
"2",2567,1,50,250,4,5,2,0.3,51.34,10.268,0.1
"3",4735,1,100,400,1,2,2,0,47.35,11.8375,0.02
"4",13907,1,105,630,4,8,2,0,132.447619047619,22.0746031746032,0.0761904761904762
"5",13532,1,150,600,1,2,2,0,90.2133333333333,22.5533333333333,0.0133333333333333
"6",2804,1,250,500,2,2,1,0,11.216,5.608,0.008
"7",3850,1,55,110,2,2,1,0,70,35,0.0363636363636364
"8",5369,1,78,156,2,3,2,0.17,68.8333333333333,34.4166666666667,0.0384615384615385
"9",6673,1,73,365,3,5,2,0.1,91.4109589041096,18.2821917808219,0.0684931506849315
"10",2712,1,90,90,2,2,1,0,30.1333333333333,30.1333333333333,0.0222222222222222
"11",5853,1,89,178,2,4,2,0,65.7640449438202,32.8820224719101,0.0449438202247191
"12",3655,1,59,236,1,2,2,0,61.9491525423729,15.4872881355932,0.0338983050847458
"13",4390,1,191,573,2,3,2,0.17,22.9842931937173,7.66143106457243,0.0157068062827225
"14",1248,1,100,100,1,1,1,0,12.48,12.48,0.01
"15",1085,1,54,162,3,4,2,0.25,20.0925925925926,6.69753086419753,0.0740740740740741
"16",3687,1,80,320,1,2,2,0,46.0875,11.521875,0.025
"17",1293,1,100,200,1,1,1,0,12.93,6.465,0.01
"18",8191,1,205,820,1,2,2,0,39.9560975609756,9.9890243902439,0.00975609756097561
"19",4075,1,150,150,1,1,1,0,27.1666666666667,27.1666666666667,0.00666666666666667
"20",2920,1,70,140,2,4,2,0,41.7142857142857,20.8571428571429,0.0571428571428571
"21",4433,1,73,292,1,2,2,0,60.7260273972603,15.1815068493151,0.0273972602739726
"22",2867,1,108,324,2,4,2,0,26.5462962962963,8.84876543209877,0.037037037037037
"23",2948,1,69,138,1,2,2,0,42.7246376811594,21.3623188405797,0.0289855072463768
"24",6026,1,152,608,3,4,2,0.25,39.6447368421053,9.91118421052632,0.0263157894736842
"25",2251,1,100,200,1,1,1,0,22.51,11.255,0.01
"26",4504,1,100,400,1,1,1,0,45.04,11.26,0.01
"27",4024,1,65,260,2,4,2,0,61.9076923076923,15.4769230769231,0.0615384615384615
"28",4001,1,105,210,3,4,2,0.25,38.1047619047619,19.052380952381,0.0380952380952381
"29",3765,1,87,174,3,4,2,0.25,43.2758620689655,21.6379310344828,0.0459770114942529
"30",2992,1,200,200,1,1,1,0,14.96,14.96,0.005
"31",4615,1,100,400,1,2,2,0,46.15,11.5375,0.02
"32",9475,1,80,320,4,5,2,0.3,118.4375,29.609375,0.0625
"33",1440,1,44,44,1,1,1,0,32.7272727272727,32.7272727272727,0.0227272727272727
"34",1683,1,72,144,2,2,1,0,23.375,11.6875,0.0277777777777778
"35",843,1,100,100,2,2,1,0,8.43,8.43,0.02
"36",1641,1,50,200,1,2,2,0,32.82,8.205,0.04
"37",3525,1,59,118,1,2,2,0,59.7457627118644,29.8728813559322,0.0338983050847458
"38",3104,1,90,270,1,1,1,0,34.4888888888889,11.4962962962963,0.0111111111111111
"39",1165,1,40,40,2,2,1,0,29.125,29.125,0.05
"40",11693,1,200,400,2,3,2,0.17,58.465,29.2325,0.015
"41",4383,1,65,260,6,7,2,0.36,67.4307692307692,16.8576923076923,0.107692307692308
"42",8888,1,100,300,6,6,1,0,88.88,29.6266666666667,0.06
"43",2010,1,70,210,3,4,2,0.25,28.7142857142857,9.57142857142857,0.0571428571428571
"44",9480,1,100,500,3,4,2,0.25,94.8,18.96,0.04
"45",13732,1,343,1372,3,4,2,0.25,40.0349854227405,10.0087463556851,0.0116618075801749
"46",7194,1,100,300,1,2,2,0,71.94,23.98,0.02
"47",2627,1,50,150,3,3,1,0,52.54,17.5133333333333,0.06
"48",1696,1,100,100,1,1,1,0,16.96,16.96,0.01
"49",8772,1,110,330,1,2,2,0,79.7454545454545,26.5818181818182,0.0181818181818182
"50",4779,1,45,180,2,4,2,0,106.2,26.55,0.0888888888888889
"51",3901,1,58,174,6,6,1,0,67.2586206896552,22.4195402298851,0.103448275862069
"52",9615,1,85,340,2,3,2,0.17,113.117647058824,28.2794117647059,0.0352941176470588
"53",5373,1,57,285,6,7,2,0.36,94.2631578947368,18.8526315789474,0.12280701754386
