"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini","timePerPc","timePerImp","inksPerPc"
"1",398,0,6,12,1,1,"1",0,66.3333333333333,33.1666666666667,0.166666666666667
"2",3684,0,50,100,1,2,"2",0,73.68,36.84,0.04
"3",1504,0,10,40,1,2,"2",0,150.4,37.6,0.2
"4",5481,0,24,144,2,3,"2",0.17,228.375,38.0625,0.125
"5",477,0,7,14,2,2,"1",0,68.1428571428571,34.0714285714286,0.285714285714286
"6",4611,0,36,144,2,2,"1",0,128.083333333333,32.0208333333333,0.0555555555555556
"7",1204,0,12,48,2,2,"1",0,100.333333333333,25.0833333333333,0.166666666666667
"8",454,0,7,14,1,1,"1",0,64.8571428571429,32.4285714285714,0.142857142857143
"9",3683,0,25,125,2,4,"2",0,147.32,29.464,0.16
"10",6376,0,53,159,2,3,"2",0.17,120.301886792453,40.1006289308176,0.0566037735849057
"11",13547,0,35,385,4,6,"2",0.17,387.057142857143,35.187012987013,0.171428571428571
"12",1692,0,12,48,1,2,"2",0,141,35.25,0.166666666666667
"13",6919,0,22,264,4,6,"2",0.17,314.5,26.2083333333333,0.272727272727273
"14",1364,0,10,50,5,5,"1",0,136.4,27.28,0.5
"15",1740,0,12,48,1,2,"2",0,145,36.25,0.166666666666667
"16",1745,0,50,50,1,1,"1",0,34.9,34.9,0.02
"17",546,0,20,20,1,1,"1",0,27.3,27.3,0.05
"18",435,0,8,16,1,1,"1",0,54.375,27.1875,0.125
"19",1860,0,20,40,1,2,"2",0,93,46.5,0.1
"20",424,0,7,14,1,1,"1",0,60.5714285714286,30.2857142857143,0.142857142857143
"21",567,0,8,16,1,2,"2",0,70.875,35.4375,0.25
"22",494,0,6,12,1,1,"1",0,82.3333333333333,41.1666666666667,0.166666666666667
"23",10060,0,52,312,2,3,"2",0.17,193.461538461538,32.2435897435897,0.0576923076923077
"24",696,0,14,14,1,1,"1",0,49.7142857142857,49.7142857142857,0.0714285714285714
"25",896,0,18,36,1,1,"1",0,49.7777777777778,24.8888888888889,0.0555555555555556
"26",1364,0,15,30,1,2,"2",0,90.9333333333333,45.4666666666667,0.133333333333333
"27",776,0,10,20,1,1,"1",0,77.6,38.8,0.1
"28",5537,0,15,120,2,4,"2",0,369.133333333333,46.1416666666667,0.266666666666667
"29",1117,0,25,50,1,1,"1",0,44.68,22.34,0.04
"30",4972,0,71,142,1,2,"2",0,70.0281690140845,35.0140845070423,0.028169014084507
"31",4299,0,60,120,1,1,"1",0,71.65,35.825,0.0166666666666667
"32",607,0,23,23,1,1,"1",0,26.3913043478261,26.3913043478261,0.0434782608695652
"33",6284,0,35,140,1,2,"2",0,179.542857142857,44.8857142857143,0.0571428571428571
"34",670,0,5,15,1,1,"1",0,134,44.6666666666667,0.2
