"","runtime","isAuto","qty","totImps","maxInks","totInks","locs","gini"
"1",1,0,20,120,2,4,2,0
"2",6443,1,93,465,4,5,2,0.3
"3",3787,0,37,259,3,5,2,0.1
"4",21659,1,100,200,2,4,2,0
"5",2567,1,50,250,4,5,2,0.3
"6",2173,0,50,100,1,1,1,0
"7",4735,1,100,400,1,2,2,0
"8",398,0,6,12,1,1,1,0
"9",8956,1,100,200,2,3,2,0.17
"10",4567,1,59,118,2,2,1,0
"11",3795,0,45,180,2,2,1,0
"12",3684,0,50,100,1,2,2,0
"13",13907,1,105,630,4,8,2,0
"14",1504,0,10,40,1,2,2,0
"15",5481,0,24,144,2,3,2,0.17
"16",477,0,7,14,2,2,1,0
"17",2141,0,7,28,1,2,2,0
"18",1382,0,6,12,1,1,1,0
"19",4611,0,36,144,2,2,1,0
"20",1204,0,12,48,2,2,1,0
"21",454,0,7,14,1,1,1,0
"22",3683,0,25,125,2,4,2,0
"23",754,0,3,6,1,1,1,0
"24",6376,0,53,159,2,3,2,0.17
"25",1287,0,10,20,1,2,2,0
"26",13547,0,35,385,4,6,2,0.17
"27",1692,0,12,48,1,2,2,0
"28",6919,0,22,264,4,6,2,0.17
"29",1364,0,10,50,5,5,1,0
"30",1308,0,3,6,1,1,1,0
"31",2268,0,3,30,3,6,2,0
"32",1740,0,12,48,1,2,2,0
"33",1745,0,50,50,1,1,1,0
"34",546,0,20,20,1,1,1,0
"35",2876,0,12,48,1,2,2,0
"36",6,0,9,36,2,2,1,0
"37",1682,0,6,18,2,2,1,0
"38",435,0,8,16,1,1,1,0
"39",637,0,12,36,2,2,1,0
"40",13532,1,150,600,1,2,2,0
"41",1860,0,20,40,1,2,2,0
"42",2250,0,5,20,1,2,2,0
"43",1185,0,14,70,2,3,2,0.17
"44",2804,1,250,500,2,2,1,0
"45",2542,0,11,44,2,2,1,0
"46",424,0,7,14,1,1,1,0
"47",5296,0,45,270,2,4,2,0
"48",567,0,8,16,1,2,2,0
"49",494,0,6,12,1,1,1,0
"50",880,0,45,90,1,2,2,0
"51",1934,0,8,16,1,2,2,0
"52",10060,0,52,312,2,3,2,0.17
"53",13745,1,150,300,1,2,2,0
"54",696,0,14,14,1,1,1,0
"55",896,0,18,36,1,1,1,0
"56",1364,0,15,30,1,2,2,0
"57",3850,1,55,110,2,2,1,0
"58",776,0,10,20,1,1,1,0
"59",228,0,6,12,1,1,1,0
"60",5369,1,78,156,2,3,2,0.17
"61",5537,0,15,120,2,4,2,0
"62",86,0,6,12,1,1,1,0
"63",1117,0,25,50,1,1,1,0
"64",4972,0,71,142,1,2,2,0
"65",8076,0,13,104,2,4,2,0
"66",9467,0,31,434,6,10,2,0.1
"67",4299,0,60,120,1,1,1,0
"68",607,0,23,23,1,1,1,0
"69",6284,0,35,140,1,2,2,0
"70",1916,0,35,105,2,3,2,0.17
"71",72471,1,1472,1472,1,1,1,0
"72",670,0,5,15,1,1,1,0
"73",3542,0,34,136,1,2,2,0
"74",2282,0,20,40,1,2,2,0
"75",3711,0,64,128,1,1,1,0
"76",903,0,30,30,1,1,1,0
"77",6327,0,43,258,2,3,2,0.17
"78",3196,0,30,120,1,2,2,0
"79",1304,0,20,40,2,2,1,0
"80",223,0,7,14,1,1,1,0
"81",1559,0,8,16,1,1,1,0
"82",335,0,6,6,1,1,1,0
"83",759,0,3,12,2,2,1,0
"84",6673,1,73,365,3,5,2,0.1
"85",609,0,3,6,1,1,1,0
"86",2712,1,90,90,2,2,1,0
"87",405,0,4,8,1,1,1,0
"88",572,0,13,26,2,2,1,0
"89",357,0,8,8,1,1,1,0
"90",1989,0,17,68,1,2,2,0
"91",546,0,3,12,1,2,2,0
"92",5787,0,41,164,1,2,2,0
"93",186,0,3,3,1,1,1,0
"94",337,0,10,50,2,3,2,0.17
"95",5853,1,89,178,2,4,2,0
"96",1524,0,45,90,1,1,1,0
"97",2636,0,54,108,1,1,1,0
"98",620,0,70,70,1,1,1,0
"99",6438,0,30,180,5,5,1,0
"100",1009,0,22,22,1,1,1,0
"101",1412,0,20,40,1,1,1,0
"102",338,0,8,16,1,1,1,0
"103",1795,0,6,24,2,2,1,0
"104",1429,0,15,30,1,2,2,0
"105",253,0,3,6,1,1,1,0
"106",2095,0,51,102,1,1,1,0
"107",256,0,3,3,1,1,1,0
"108",2855,0,38,114,2,2,1,0
"109",5908,0,35,490,3,6,2,0
"110",130,0,3,6,1,1,1,0
"111",1850,0,6,12,2,2,1,0
"112",1426,0,14,56,4,4,1,0
"113",733,0,3,6,1,1,1,0
"114",4762,0,42,126,2,3,2,0.17
"115",1881,0,20,80,3,3,1,0
"116",8,0,11,44,1,2,2,0
"117",978,0,33,66,1,1,1,0
"118",2874,0,25,50,1,2,2,0
"119",730,0,12,12,1,1,1,0
"120",1251,0,41,82,1,1,1,0
"121",115,0,4,8,1,1,1,0
"122",854,0,11,22,1,1,1,0
"123",1564,0,7,42,2,3,2,0.17
"124",3081,0,38,114,2,2,1,0
"125",1272,0,3,18,1,3,3,0
"126",5024,0,25,100,1,2,2,0
"127",2,0,20,80,3,4,2,0.25
"128",298,0,5,10,1,1,1,0
"129",991,0,10,20,1,2,2,0
"130",3655,1,59,236,1,2,2,0
"131",970,0,13,65,3,3,1,0
"132",1361,0,11,22,1,2,2,0
"133",1513,0,3,18,2,3,2,0.17
"134",1206,0,10,40,1,2,2,0
"135",894,0,6,12,1,1,1,0
"136",678,0,15,15,1,1,1,0
"137",4390,1,191,573,2,3,2,0.17
"138",2554,0,44,88,1,1,1,0
"139",91,0,3,3,1,1,1,0
"140",1075,0,14,42,2,2,1,0
"141",1248,1,100,100,1,1,1,0
"142",863,0,20,40,1,1,1,0
"143",1859,0,12,36,2,3,2,0.17
"144",1686,0,8,16,1,2,2,0
"145",203,0,3,9,3,3,1,0
"146",1445,0,11,22,1,1,1,0
"147",651,0,12,24,1,1,1,0
"148",3063,0,50,200,1,2,2,0
"149",1083,0,14,28,1,2,2,0
"150",1573,0,15,60,1,2,2,0
"151",5620,0,15,45,2,3,2,0.17
"152",68,0,4,8,1,1,1,0
"153",2475,0,70,140,1,1,1,0
"154",3430,0,3,18,2,4,2,0
"155",2524,0,3,12,1,2,2,0
"156",1884,0,3,12,1,2,2,0
"157",9388,0,42,420,4,8,2,0
"158",1421,0,30,60,1,1,1,0
"159",5236,0,50,200,1,2,2,0
"160",2598,0,12,96,2,4,2,0
"161",740,0,6,24,2,2,1,0
"162",887,0,3,12,1,2,2,0
"163",2065,0,29,29,1,1,1,0
"164",1,0,26,52,1,1,1,0
"165",1994,0,13,52,1,2,2,0
"166",714,0,7,21,2,2,1,0
"167",194,0,4,4,1,1,1,0
"168",632,0,10,20,1,1,1,0
"169",458,0,5,10,1,1,1,0
"170",2412,0,13,52,1,2,2,0
"171",4115,0,70,140,1,2,2,0
"172",3057,0,25,75,2,2,1,0
"173",408,0,7,21,2,2,1,0
"174",1085,1,54,162,3,4,2,0.25
"175",958,0,8,32,2,2,1,0
"176",2747,0,30,120,1,2,2,0
"177",3687,1,80,320,1,2,2,0
"178",3122,0,24,72,2,2,1,0
"179",921,0,4,16,1,2,2,0
"180",968,0,3,12,2,2,1,0
"181",3598,0,15,90,2,3,2,0.17
"182",896,0,14,28,1,1,1,0
"183",2091,0,10,40,1,2,2,0
"184",3,0,18,18,1,1,1,0
"185",2183,0,15,60,1,2,2,0
"186",6953,0,30,150,2,4,2,0
"187",2740,0,12,48,1,2,2,0
"188",3,0,12,48,2,3,2,0.17
"189",5584,0,70,140,1,1,1,0
"190",1063,0,6,12,1,1,1,0
"191",3571,0,30,60,2,2,1,0
"192",1435,0,80,80,1,1,1,0
"193",174,0,6,12,1,1,1,0
"194",136,0,5,5,1,1,1,0
